Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,Uncontrolled,4 June 2010,18:45
1,CCAFS,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0004.1,No attempt,4 June 2010,18:45
1,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.0B0005.1,No attempt,4 June 2010,15:43
1,VAFB,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.0B0006.1,Controlled,8 December 2010,07:44
2,CCAFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,Controlled,22 May 2012,00:35
3,CCAFS,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1B1003,No attempt,8 October 2012,15:10
4,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",1 March 2013,16:00
5,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,Uncontrolled,29 September 2013,22:41
6,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Failure ,3 December 2013,22:06
7,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Controlled,6 January 2014,19:25
8,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,No attempt,18 April 2014,15:15
9,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Failure,14 July 2014,08:00
10,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,No attempt,5 August 2014,05:00
11,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,Precluded,7 September 2014,05:52
12,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Success,21 September 2014,09:47
13,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Failure,10 January 2015,23:03
14,Cape Canaveral,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,11 February 2015,03:50
15,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Success,2 March 2015,20:10
16,VAFB,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 v1.1,Success,14 April 2015,23:03
17,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,27 April 2015,14:21
18,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 v1.1,Failure,28 June 2015,01:29
19,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Success,22 December 2015,18:42
20,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,17 January 2016,23:35
21,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,4 March 2016,20:43
22,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,8 April 2016,05:21
23,Cape Canaveral,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,No attempt,6 May 2016,21:39
24,VAFB,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,Success,27 May 2016,14:29
25,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT,Success,15 June 2016,04:45
26,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT,No attempt,18 July 2016,05:26
27,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,Success,14 August 2016,17:54
28,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,14 January 2017,14:39
29,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT♺,Success,19 February 2017,06:00
30,KSC,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,No attempt,16 March 2017,22:27
31,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,Success,30 March 2017,11:15
32,VAFB,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 FT,Success,1 May 2017,23:21
33,KSC,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FTB1029.2,Success,15 May 2017,21:07
34,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 FT,Success,3 June 2017,19:10
35,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,23 June 2017,20:25
36,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 B4,Success,25 June 2017,23:38
37,VAFB,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 FT,Success,5 July 2017,16:31
38,KSC,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 B4,Controlled,14 August 2017,18:51
39,KSC,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4,Success,24 August 2017,14:00
40,Cape Canaveral,Zuma,C,LEO,Northrop Grumman,Success,F9 FTB1031.2,Controlled,7 September 2017,12:37
41,VAFB,GovSat-1,"4,230 kg",GTO,SES,Success,F9 B4,No attempt,9 October 2017,22:53:00
42,CCAFS,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1035.2,No attempt,11 October 2017,19:34
43,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 FTB1036.2,No attempt,30 October 2017,15:36
44,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4,No attempt,15 December 2017,01:27
45,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 FTB1032.2,Success,23 December 2017,01:00
46,VAFB,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 FTB1038.2,Success,8 January 2018,21:25
47,CCAFS,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B4,No attempt,31 January 2018,14:17
48,CCAFS,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,22 February 2018,05:33
49,KSC,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1039.2,No attempt,6 March 2018,14:14
50,VAFB,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4,Success,30 March 2018,20:30
51,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5B1046.1,Success,2 April 2018,22:51
52,CCAFS,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1043.2,Success,18 April 2018,20:14
53,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B4B1040.2,Success,11 May 2018,19:47
